student_id,total_patterns,sum_invalid_pattern,unique_patterns_count,total_values_count,total_non_zero_values_count,duplicates
879,209,192.0,6.0,209.0,17.0,11.0
1161,175,156.0,17.0,175.0,19.0,2.0
748,164,137.0,25.0,164.0,27.0,2.0
9884,151,66.0,28.0,150.0,84.0,56.0
2639,137,77.0,16.0,137.0,60.0,44.0
10042,131,38.0,46.0,131.0,93.0,47.0
5618,119,97.0,17.0,119.0,22.0,5.0
8506,116,3.0,32.0,116.0,113.0,81.0
3673,115,79.0,28.0,115.0,36.0,8.0
69,115,46.0,18.0,113.0,67.0,49.0
5119,111,1.0,40.0,111.0,110.0,70.0
9579,97,22.0,58.0,97.0,75.0,17.0
6715,96,,35.0,96.0,96.0,61.0
2775,93,7.0,45.0,93.0,86.0,41.0
9878,92,32.0,19.0,91.0,59.0,40.0
9889,91,14.0,32.0,91.0,77.0,45.0
9668,91,3.0,73.0,91.0,88.0,15.0
9355,90,12.0,44.0,90.0,78.0,34.0
5920,90,35.0,28.0,90.0,55.0,27.0
9468,88,4.0,70.0,88.0,84.0,14.0
9960,88,1.0,76.0,88.0,87.0,11.0
2385,87,1.0,70.0,87.0,86.0,16.0
9720,86,,82.0,86.0,86.0,4.0
7641,85,5.0,62.0,85.0,80.0,18.0
9973,85,4.0,71.0,85.0,81.0,10.0
9325,85,1.0,79.0,85.0,84.0,5.0
6206,84,2.0,62.0,84.0,82.0,20.0
55,84,29.0,42.0,84.0,55.0,13.0
9108,84,,79.0,84.0,84.0,5.0
8834,84,2.0,70.0,84.0,82.0,12.0
4168,84,27.0,28.0,84.0,57.0,29.0
4490,84,2.0,63.0,84.0,82.0,19.0
2209,83,19.0,41.0,83.0,64.0,23.0
9957,83,,72.0,83.0,83.0,11.0
9303,83,13.0,21.0,83.0,70.0,49.0
9434,83,,71.0,83.0,83.0,12.0
2045,83,35.0,34.0,83.0,48.0,14.0
9670,82,,71.0,82.0,82.0,11.0
9320,82,4.0,69.0,82.0,78.0,9.0
8311,81,,57.0,81.0,81.0,24.0
9801,81,4.0,60.0,81.0,77.0,17.0
7894,81,,77.0,81.0,81.0,4.0
9165,81,4.0,58.0,81.0,77.0,19.0
9400,81,4.0,61.0,81.0,77.0,16.0
5688,80,1.0,64.0,80.0,79.0,15.0
2374,80,7.0,64.0,80.0,73.0,9.0
7750,80,2.0,67.0,80.0,78.0,11.0
9976,80,4.0,55.0,80.0,76.0,21.0
7913,80,1.0,69.0,80.0,79.0,10.0
8857,79,,63.0,79.0,79.0,16.0
9965,79,3.0,60.0,79.0,76.0,16.0
7701,79,2.0,63.0,79.0,77.0,14.0
7962,79,1.0,63.0,79.0,78.0,15.0
7774,79,6.0,69.0,79.0,73.0,4.0
9476,78,1.0,62.0,78.0,77.0,15.0
3952,78,37.0,24.0,78.0,41.0,17.0
10014,78,44.0,30.0,78.0,34.0,4.0
4950,78,6.0,50.0,78.0,72.0,22.0
3889,78,26.0,36.0,78.0,52.0,16.0
9500,78,1.0,60.0,78.0,77.0,17.0
8660,77,14.0,45.0,77.0,63.0,18.0
3822,77,6.0,30.0,77.0,71.0,41.0
10049,77,,76.0,77.0,77.0,1.0
9980,76,,65.0,76.0,76.0,11.0
224,76,8.0,5.0,76.0,68.0,63.0
651,76,16.0,53.0,76.0,60.0,7.0
9734,75,,69.0,75.0,75.0,6.0
2982,75,2.0,59.0,75.0,73.0,14.0
1880,75,14.0,47.0,75.0,61.0,14.0
7902,74,3.0,58.0,74.0,71.0,13.0
8905,74,1.0,52.0,74.0,73.0,21.0
5306,74,,70.0,74.0,74.0,4.0
1109,74,33.0,36.0,74.0,41.0,5.0
1722,74,12.0,22.0,74.0,62.0,40.0
5581,74,2.0,70.0,74.0,72.0,2.0
5326,73,,51.0,73.0,73.0,22.0
9323,73,1.0,54.0,73.0,72.0,18.0
8550,73,1.0,64.0,73.0,72.0,8.0
1044,73,14.0,30.0,73.0,59.0,29.0
9054,73,,69.0,73.0,73.0,4.0
8401,73,,69.0,73.0,73.0,4.0
2186,73,1.0,63.0,73.0,72.0,9.0
10020,73,18.0,43.0,73.0,55.0,12.0
9966,73,,59.0,73.0,73.0,14.0
9148,73,,69.0,73.0,73.0,4.0
9831,73,9.0,32.0,73.0,64.0,32.0
2883,72,,62.0,72.0,72.0,10.0
8321,72,9.0,46.0,71.0,62.0,16.0
1363,72,47.0,22.0,72.0,25.0,3.0
7990,72,1.0,60.0,72.0,71.0,11.0
8485,72,,69.0,72.0,72.0,3.0
8878,72,2.0,63.0,72.0,70.0,7.0
9545,71,3.0,57.0,71.0,68.0,11.0
5335,71,8.0,60.0,71.0,63.0,3.0
8451,71,,58.0,71.0,71.0,13.0
6834,71,2.0,45.0,71.0,69.0,24.0
9539,71,2.0,62.0,71.0,69.0,7.0
4363,71,26.0,41.0,71.0,45.0,4.0
3044,70,4.0,53.0,70.0,66.0,13.0
9692,70,1.0,62.0,70.0,69.0,7.0
8952,70,1.0,65.0,70.0,69.0,4.0
8823,70,1.0,60.0,70.0,69.0,9.0
2506,70,17.0,37.0,70.0,53.0,16.0
9236,70,2.0,53.0,70.0,68.0,15.0
247,70,27.0,37.0,70.0,43.0,6.0
8250,70,3.0,63.0,70.0,67.0,4.0
3412,69,16.0,27.0,69.0,53.0,26.0
1488,69,3.0,56.0,69.0,66.0,10.0
10026,69,,61.0,69.0,69.0,8.0
9986,69,4.0,49.0,68.0,64.0,15.0
9972,69,2.0,52.0,69.0,67.0,15.0
3647,69,12.0,33.0,69.0,57.0,24.0
7952,69,,65.0,69.0,69.0,4.0
1453,69,34.0,30.0,69.0,35.0,5.0
1972,69,3.0,44.0,69.0,66.0,22.0
8720,69,,68.0,69.0,69.0,1.0
5297,69,2.0,50.0,69.0,67.0,17.0
6067,69,1.0,59.0,69.0,68.0,9.0
7794,69,,64.0,69.0,69.0,5.0
4444,69,14.0,40.0,69.0,55.0,15.0
2145,69,,63.0,69.0,69.0,6.0
5561,69,3.0,58.0,69.0,66.0,8.0
2934,69,4.0,61.0,69.0,65.0,4.0
3040,68,1.0,56.0,68.0,67.0,11.0
5942,68,1.0,57.0,68.0,67.0,10.0
7669,68,1.0,66.0,68.0,67.0,1.0
8149,68,1.0,53.0,68.0,67.0,14.0
7649,68,3.0,61.0,68.0,65.0,4.0
8606,68,1.0,55.0,68.0,67.0,12.0
8648,68,,63.0,68.0,68.0,5.0
3182,68,1.0,61.0,68.0,67.0,6.0
5101,68,1.0,56.0,68.0,67.0,11.0
7231,68,5.0,57.0,68.0,63.0,6.0
8851,68,1.0,63.0,68.0,67.0,4.0
1304,68,18.0,40.0,68.0,50.0,10.0
2071,68,8.0,27.0,68.0,60.0,33.0
2456,68,2.0,62.0,68.0,66.0,4.0
8315,68,1.0,59.0,68.0,67.0,8.0
2752,68,3.0,32.0,68.0,65.0,33.0
4918,68,3.0,55.0,68.0,65.0,10.0
7628,68,4.0,56.0,68.0,64.0,8.0
8543,68,1.0,57.0,68.0,67.0,10.0
5901,68,1.0,60.0,68.0,67.0,7.0
6580,68,3.0,50.0,68.0,65.0,15.0
8217,68,,55.0,68.0,68.0,13.0
3294,68,12.0,38.0,68.0,56.0,18.0
9459,67,3.0,62.0,67.0,64.0,2.0
6739,67,6.0,51.0,67.0,61.0,10.0
5759,67,3.0,57.0,67.0,64.0,7.0
4483,67,2.0,52.0,67.0,65.0,13.0
9947,67,3.0,44.0,67.0,64.0,20.0
6937,67,2.0,62.0,67.0,65.0,3.0
8379,67,,56.0,67.0,67.0,11.0
6819,67,4.0,57.0,67.0,63.0,6.0
9084,67,,64.0,67.0,67.0,3.0
1517,67,9.0,44.0,67.0,58.0,14.0
9963,67,3.0,54.0,67.0,64.0,10.0
7083,67,1.0,61.0,67.0,66.0,5.0
2287,67,21.0,31.0,67.0,46.0,15.0
9974,67,3.0,58.0,67.0,64.0,6.0
1661,67,1.0,50.0,67.0,66.0,16.0
2279,67,3.0,23.0,67.0,64.0,41.0
7784,67,2.0,59.0,67.0,65.0,6.0
3698,67,5.0,44.0,67.0,62.0,18.0
4838,67,19.0,42.0,67.0,48.0,6.0
6051,67,9.0,45.0,67.0,58.0,13.0
8918,67,,62.0,67.0,67.0,5.0
8636,67,,56.0,67.0,67.0,11.0
6179,67,3.0,47.0,67.0,64.0,17.0
8998,67,2.0,54.0,67.0,65.0,11.0
9678,67,2.0,54.0,67.0,65.0,11.0
5641,67,6.0,53.0,67.0,61.0,8.0
6196,67,4.0,50.0,67.0,63.0,13.0
4477,67,5.0,42.0,67.0,62.0,20.0
5147,67,2.0,58.0,67.0,65.0,7.0
8403,67,,52.0,67.0,67.0,15.0
9908,67,6.0,53.0,67.0,61.0,8.0
4934,67,,59.0,67.0,67.0,8.0
2879,67,2.0,58.0,67.0,65.0,7.0
9910,67,17.0,32.0,67.0,50.0,18.0
7625,67,,64.0,67.0,67.0,3.0
8946,67,2.0,54.0,67.0,65.0,11.0
3677,67,25.0,32.0,67.0,42.0,10.0
8126,66,2.0,56.0,66.0,64.0,8.0
