idll_vo3lv;schooljaar;citop;cito;cito_taal;cito_rekenen;route8;route8_taal;route8_rekenen;iep;school;gender
2;;;;;;;;;;vmbo kl;1
3;;518;518;;;;;;;vmbo kl;1
4;;;;;;;;;;vmbo kl;0
5;;;;;;;;;;vmbo kl;0
6;;524;524;;;;;;;vmbo bl;0
7;;;;;;;;;;vmbo kl;1
8;2016-2017;529.2207;529;93;42;;;;;vmbo bl;1
9;;;;;;;;;;vmbo kl;0
10;;;;;;;;;;vmbo kl;0
11;2016-2017;532.68341;533;89;57;;;;;vmbo kl;0
12;;;;;;;;;;vmbo kl;0
13;;534;534;;;;;;;vmbo kl;0
16;;;;;;;;;;vmbo kl;1
17;;;;;;;;;;vmbo kl;1
18;2016-2017;534.25739;534;85;66;;;;;vmbo kl;1
21;2016-2017;520.13184;;;;164;178;151;;vmbo kl;1
25;;;;;;;;;;vmbo bl;0
26;2016-2017;;;;;;;;52;vmbo kl;1
29;2016-2017;;;;;;;;59;vmbo kl;1
30;2016-2017;530.47986;530;84;55;;;;;vmbo kl;0
32;;;;;;;;;;vmbo kl;0
33;;;;;;;;;;vmbo kl;0
35;;;;;;;;;;vmbo kl;1
36;2016-2017;521.66559;522;73;38;;;;;vmbo kl;1
37;;;;;;;;;;vmbo kl;1
39;2016-2017;521.98041;522;69;43;;;;;vmbo kl;0
40;;;;;;191;;;;vmbo kl;1
41;;;;;;;;;;vmbo bl;0
45;;;;;;;;;;vmbo kl;0
49;;;;;;;;;;vmbo bl;1
51;;;;;;;;;;vmbo bl;1
54;;;;;;;;;;vmbo kl;0
55;;;;;;;;;;vmbo kl;1
56;;;;;;;;;;vmbo kl;0
58;2016-2017;527.02972;;;;182;198;166;;vmbo kl;1
64;2016-2017;530.79468;531;94;46;;;;;vmbo kl;1
65;;;;;;;;;;vmbo kl;0
66;;;;;;;;;;vmbo kl;0
67;2016-2017;512.22174;512;44;37;;;;;vmbo kl;0
68;;521;521;;;;;;;vmbo kl;0
69;;514;514;;;;;;;vmbo kl;0
70;;;;;;;;;;vmbo kl;1
71;2016-2017;524.18396;524;83;36;;;;;vmbo bl;1
73;2016-2017;535.20178;535;92;62;;;;;vmbo bl;0
75;;;;;;;;;;vmbo kl;0
77;;;;;;;;;;vmbo kl;0
79;2016-2017;532.68341;533;81;65;;;;;vmbo kl;1
80;;;;;;;;;;vmbo kl;0
81;;;;;;;;;;vmbo kl;0
82;;;;;;;;;;vmbo kl;1
83;2016-2017;536.14618;536;85;72;;;;;vmbo kl;1
85;;521;521;;;;;;;vmbo kl;0
86;2016-2017;523.86914;524;74;44;;;;;vmbo kl;1
87;2016-2017;529.2207;529;72;63;;;;;vmbo kl;0
95;2016-2017;527.33191;527;94;35;;;;;vmbo kl;1
101;2016-2017;531.73901;532;99;44;;;;;vmbo kl;0
103;2016-2017;;;;;;;;50;vmbo bl;0
